trials.thisTrialN,trials.stepSize,trials.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,key_resp.corr,tilt,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
19,1,1.0,42.8731011999771,43.35668079997413,43.35668079997413,43.37322399998084,43.65693040000042,right,1,1.0,1,0.8161020000115968,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
20,1,1.0,44.19116889999714,44.69151829998009,44.69151829998009,44.69151829998009,44.99188689998118,left,1,-1.0,1,0.7814950000029057,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
21,1,1.0,45.49246369997854,45.992924699996365,45.992924699996365,45.992924699996365,46.293207199982135,left,1,-1.0,1,0.786111500026891,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
22,1,1.0,46.81066160000046,47.31100209997385,47.31100209997385,47.31100209997385,47.611440499982564,right,1,1.0,1,0.6883084999863058,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
23,1,1.0,48.02843749997555,48.512209899985464,48.512209899985464,48.5288722999976,48.812814199976856,right,0,1.0,0,1.096713999984786,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
24,1,2.0,49.63059059999068,50.13094969998929,50.13094969998929,50.13094969998929,50.432487599988235,left,1,-2.0,1,0.7021637000143528,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
25,1,2.0,50.86506079998799,51.34911419998389,51.34911419998389,51.36557259998517,51.648961200000485,right,1,2.0,1,0.6799410000094213,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
26,0.5,2.0,52.04960699999356,52.54985729997861,52.54985729997861,52.54985729997861,52.850274600001285,right,1,2.0,1,0.7135607000091113,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
27,0.5,1.5,53.284430399973644,53.78509949997533,53.78509949997533,53.78509949997533,54.085437799978536,left,1,-1.5,1,0.660088500007987,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
28,0.5,1.5,54.468610399984755,54.970052799995756,54.970052799995756,54.970052799995756,55.26928069998394,left,1,-1.5,1,1.0472769000043627,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
29,0.5,1.5,56.03715559997363,56.53835379998782,56.53835379998782,56.53835379998782,56.83816069999011,left,1,-1.5,1,0.7741152999806218,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
30,0.5,1.0,57.33877360000042,57.82253869998385,57.82253869998385,57.83908409997821,58.12315369999851,left,1,-1.0,1,0.7514635999978054,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
31,0.5,1.0,58.59038789998158,59.09086889997707,59.09086889997707,59.09086889997707,59.391332699975464,right,1,1.0,1,1.2412627000012435,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
32,0.5,1.0,60.358771300001536,60.842850599990925,60.842850599990925,60.859340599999996,61.143302799988305,left,1,-1.0,1,0.7251615000132006,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
33,0.5,1.0,61.59392649997608,62.07740329997614,62.07740329997614,62.09421239999938,62.37771889998112,right,1,1.0,1,1.9409550999989733,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
34,0.5,1.0,64.04594959999667,64.52986670000246,64.52986670000246,64.54641909999191,64.83010859999922,right,0,1.0,0,1.2514028000005055,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
35,0.5,1.5,65.79816229999415,66.29865079998854,66.29865079998854,66.29865079998854,66.59914589999244,left,1,-1.5,1,0.6791006999847014,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
36,0.5,1.5,66.99952389998361,67.49991199999931,67.49991199999931,67.49991199999931,67.8001589999767,right,1,1.5,1,0.8945258999883663,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
37,0.5,1.5,68.41784579999512,68.91815749998204,68.91815749998204,68.91815749998204,69.2189442999952,left,1,-1.5,1,0.6460954000067431,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
38,0.5,1.0,69.58571469999151,70.06924169999547,70.06924169999547,70.08590399997775,70.36977059999481,right,0,1.0,0,0.8059512000181712,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
39,0.5,1.5,70.90358299997752,71.38753569999244,71.38753569999244,71.40411429997766,71.68835109999054,right,0,1.5,0,0.9542107000015676,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
40,0.5,2.0,72.37212679997901,72.87251970000216,72.87251970000216,72.87251970000216,73.17273029999342,right,1,2.0,1,0.6899477000115439,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
41,0.5,2.0,73.5899184999871,74.07382499999949,74.07382499999949,74.09073499997612,74.3741783000005,right,1,2.0,1,0.714836600003764,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
42,0.5,2.0,74.80804209999042,75.3084710999974,75.3084710999974,75.3084710999974,75.60891899999115,left,1,-2.0,1,0.6503328999970108,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
43,0.5,1.5,75.97592279998935,76.47643019998213,76.47643019998213,76.47643019998213,76.77659850000055,left,1,-1.5,1,0.6783232000016142,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
44,0.5,1.5,77.17735469999025,77.67790349997813,77.67790349997813,77.67790349997813,77.97811849997379,left,1,-1.5,1,0.7176441999909002,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
45,0.5,1.5,78.41210169999977,78.91262029999052,78.91262029999052,78.91262029999052,79.21257069997955,right,1,1.5,1,0.6476636999868788,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
46,0.5,1.0,79.57989880000241,80.08070569997653,80.08070569997653,80.08070569997653,80.38074839999899,left,1,-1.0,1,0.6255243999767117,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
47,0.5,1.0,80.73116529997787,81.21505289999186,81.21505289999186,81.23160949998419,81.51557439999306,left,1,-1.0,1,0.6208325999905355,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
48,0.5,1.0,81.86556179999025,82.34943609999027,82.34943609999027,82.36636249997537,82.64952769997763,right,0,1.0,0,0.7221531999821309,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
49,0.5,1.5,83.10027769999579,83.60096669997438,83.60096669997438,83.60096669997438,83.90152659997693,right,0,1.5,0,0.9116856000036933,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
50,0.5,2.0,84.53545850000228,85.01943399998709,85.01943399998709,85.0361318999785,85.31943169998704,right,1,2.0,1,0.6483047000074293,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
51,0.5,2.0,85.68700939998962,86.18713269999716,86.18713269999716,86.18713269999716,86.48733709999942,right,1,2.0,1,0.7578304999915417,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
52,0.5,2.0,86.97176190000027,87.47198729999945,87.47198729999945,87.47198729999945,87.77243479999015,right,1,2.0,1,0.7781237000017427,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
